date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,USA,True
2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,USA,True
2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,USA,True
2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,USA,True
2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,USA,True
2026-06-23,Colombia,Congo DR,,,FIFA World Cup,Zapopan,Mexico,True
2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,USA,True
2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True
2026-06-24,Mexico,Czechia,,,FIFA World Cup,Mexico City,Mexico,False
2026-06-24,South Africa,Korea Republic,,,FIFA World Cup,Guadalupe,Mexico,True
2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,False
2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,USA,True
2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,USA,True
2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,USA,True
2026-06-25,USA,Türkiye,,,FIFA World Cup,Inglewood,USA,False
2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,USA,True
2026-06-25,Curaçao,Côte d'Ivoire,,,FIFA World Cup,Philadelphia,USA,True
2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,USA,True
2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,USA,True
2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,USA,True
2026-06-26,Egypt,IR Iran,,,FIFA World Cup,Seattle,USA,True
2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True
2026-06-26,Cabo Verde,Saudi Arabia,,,FIFA World Cup,Houston,USA,True
2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True
2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,USA,True
2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True
2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,USA,True
2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,USA,True
2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,USA,True
2026-06-27,Congo DR,Uzbekistan,,,FIFA World Cup,Atlanta,USA,True
2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,USA,True
2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,USA,True
